Year,LocationAbbr,LocationDesc,Question,DataValue,StratificationCategory1,Stratification1,GeoLocation
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.4,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.6,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.1,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.8,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.6,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.5,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.3,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.8,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.6,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,75.3,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,74,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,72.9,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.1,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Gender,Female,"(32.84057112200048, -86.63186076199969)"
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.8,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Gender,Male,"(32.84057112200048, -86.63186076199969)"
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.3,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.2,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,74.2,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.5,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.2,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.9,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.4,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.7,Gender,Male,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.3,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,56.8,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,56.1,Gender,Female,"(64.84507995700051, -147.72205903599973)"
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.1,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.6,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.1,Gender,Female,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.7,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Gender,Male,"(34.865970280000454, -111.76381127699972)"
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.7,Gender,Male,"(34.74865012400045, -92.27449074299966)"
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.3,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.1,Gender,Male,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.9,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.3,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.6,Gender,Male,"(34.74865012400045, -92.27449074299966)"
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.1,Gender,Male,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Gender,Male,"(34.74865012400045, -92.27449074299966)"
